ticker,company,quarter,earnings_date,quarters_behind,n_history,density_qa,density_z,density_pctile,change_vs_prev_call
FIS,Fidelity National Information Services,2024Q4,2024-11-04,1,38,0.872190540087219,0.6220787589056936,76.31578947368422,0.06482738814147371
AON,Aon,2025Q1,2025-01-31,0,43,1.0739856801909307,0.6216182112547435,72.09302325581395,0.24250009260778216
VMC,Vulcan Materials Company,2024Q3,2024-08-06,2,40,0.9928716904276985,0.6110528815626303,72.5,-0.14737916476044288
CHD,Church & Dwight,2024Q4,2024-11-01,1,38,0.8948545861297539,0.6106069623183323,76.31578947368422,0.31538438745425723
CSGP,CoStar Group,2024Q4,2024-10-22,1,39,1.000690131124914,0.6082193691891701,82.05128205128204,0.18700350479484928
SNPS,Synopsys,2024Q4,2024-12-04,1,41,1.0228310502283104,0.604416364477304,73.17073170731707,0.14467517756091197
ICE,Intercontinental Exchange,2024Q4,2024-10-31,1,42,0.8982035928143712,0.5995588003993073,69.04761904761905,0.12300979436475878
DUK,Duke Energy,2024Q4,2024-11-07,1,36,1.1643835616438356,0.5967937176763958,75.0,0.2648333367562794
PM,Philip Morris International,2024Q4,2024-10-22,1,42,1.151801535735381,0.5906244357508896,73.80952380952381,0.07569118551037612
NSC,Norfolk Southern Railway,2025Q1,2025-01-29,0,43,0.927213722763097,0.5797160841966061,67.44186046511628,0.14521563786044778
NTAP,NetApp,2024Q3,2024-08-28,2,43,0.8465791292328957,0.5757820327467841,76.74418604651163,0.011951800040349125
XYL,Xylem Inc.,2024Q4,2024-10-31,1,42,0.8529997156667614,0.5459830122694189,66.66666666666666,-0.13116802074744482
GS,Goldman Sachs,2025Q1,2025-01-15,0,43,1.1029411764705883,0.5425301824309176,72.09302325581395,0.2279229469241395
AME,Ametek,2024Q4,2024-10-31,1,42,0.9054895302773062,0.5384510358531335,69.04761904761905,0.21092744320293721
ADSK,Autodesk,2024Q1,2024-02-29,4,43,0.838466803559206,0.5364877555316824,76.74418604651163,-0.11286872516380908
MDLZ,Mondelez International,2024Q4,2024-10-29,1,42,0.984898227183191,0.5229965140519862,71.42857142857143,-0.08866042092814097
PFG,Principal Financial Group,2024Q4,2024-10-25,1,42,1.1111111111111112,0.5143395541622385,64.28571428571429,0.16811322230041448
TPR,"Tapestry, Inc.",2024Q4,2024-11-07,1,44,0.7261217650344443,0.5080218037171169,72.72727272727273,0.2119829475537245
FI,Fiserv,2024Q4,2024-10-22,1,42,0.939261114589856,0.48964234349091695,66.66666666666666,0.26481234675587406
FRT,Federal Realty Investment Trust,2024Q4,2024-10-30,1,42,0.9330534173081408,0.4872444869980945,71.42857142857143,0.13724947446133318
MRNA,Moderna,2024Q4,2024-11-07,1,22,1.3222814288533649,0.4815887491575383,77.27272727272727,0.03727951094005455
ETN,Eaton Corporation,2025Q1,2025-01-31,0,43,1.1017964071856288,0.47032387765347244,65.11627906976744,0.23140337032992364
KEY,KeyCorp,2025Q1,2025-01-21,0,43,1.0126582278481013,0.46373291240459313,72.09302325581395,-0.14431488034451911
HIG,Hartford (The),2025Q1,2025-01-31,0,43,1.0762173606210304,0.45791965230568826,81.3953488372093,0.08643447428641982
AJG,Arthur J. Gallagher & Co.,2025Q1,2025-01-30,0,43,1.319305277221109,0.45597433473975024,69.76744186046511,-0.12508567126228054
PH,Parker Hannifin,2024Q4,2024-10-31,1,44,0.9675468655513001,0.44560155103131777,63.63636363636363,0.037395935400370006
KO,Coca-Cola Company (The),2024Q4,2024-10-23,1,42,0.8814589665653495,0.44331542017743847,78.57142857142857,0.06321384121716012
VST,Vistra Corp.,2024Q4,2024-11-07,1,29,1.1991279069767442,0.43773838572936724,65.51724137931035,0.24825627464710864
WST,West Pharmaceutical Services,2024Q4,2024-10-24,1,42,0.9835315645013724,0.4279106164798747,64.28571428571429,-0.03922844702268413
CRL,Charles River Laboratories,2024Q4,2024-11-06,1,35,1.0132890365448506,0.42314085904622517,71.42857142857143,0.12084404500769108
CINF,Cincinnati Financial,2024Q4,2024-10-25,1,42,1.282367447595561,0.42025258397852244,59.523809523809526,-0.14561268485477008
XOM,ExxonMobil,2025Q1,2025-01-31,0,42,0.8374519494783086,0.41951829570981375,66.66666666666666,0.25181946639658037
DHI,D. R. Horton,2025Q1,2025-01-21,0,44,1.0139764318991504,0.41709285503124105,72.72727272727273,0.08039822559367149
AEE,Ameren,2024Q4,2024-11-07,1,39,1.022964509394572,0.41626934323385395,69.23076923076923,-0.09605888836738097
COF,Capital One,2025Q1,2025-01-21,0,42,1.0081267359325172,0.4160862887240625,69.04761904761905,-0.25462217130400533
BAC,Bank of America,2025Q1,2025-01-16,0,42,0.8882487096386988,0.41487467944716366,73.80952380952381,0.13200530478467143
PNC,PNC Financial Services,2025Q1,2025-01-16,0,43,1.1353061604317884,0.40471472925424157,72.09302325581395,-0.21900572962995235
PARA,Paramount Global,2024Q4,2024-11-08,1,40,0.7556675062972292,0.40128996148652696,62.5,0.05933084265811328
MO,Altria,2025Q1,2025-01-30,0,43,0.9970817120622567,0.3997012690873049,62.7906976744186,-0.2510272138076374
WBD,Warner Bros. Discovery,2024Q4,2024-11-07,1,42,0.7600228006840205,0.39818048872816014,64.28571428571429,0.08854386833552297
APA,APA Corporation,2024Q4,2024-11-07,1,42,0.955509107196178,0.39472958110749823,69.04761904761905,-0.026166285473979034
SJM,J.M. Smucker Company (The),2024Q3,2024-08-28,2,41,1.0211027910142956,0.39442827174846484,73.17073170731707,0.04838128541057385
IPG,Interpublic Group of Companies (The),2024Q4,2024-10-22,1,42,0.9913573970513472,0.3901374584177181,78.57142857142857,0.042882646987260964
NWSA,News Corp ,2024Q4,2024-11-09,1,44,0.7803790412486065,0.35439182843411005,61.36363636363637,0.22005031506257733
BRO,Brown & Brown,2025Q1,2025-01-28,0,41,1.4340997040746641,0.3468803519315039,58.536585365853654,0.24036193499442926
LLY,Lilly (Eli),2024Q4,2024-10-30,1,41,1.1612475116124752,0.3452813209314307,60.97560975609756,-0.017997771406392804
MKC,McCormick & Company,2025Q1,2025-01-23,0,32,0.8315316813570598,0.34488369630081916,68.75,-0.3036034537780753
CTSH,Cognizant,2024Q4,2024-10-30,1,42,0.9326660600545951,0.3420012628675414,64.28571428571429,0.1792957190553881
SPG,Simon Property Group,2024Q4,2024-11-01,1,42,0.9920283436669619,0.33838537553136405,61.904761904761905,-0.3206208210108423
KMI,Kinder Morgan,2025Q1,2025-01-22,0,42,1.1572114027660174,0.33808535497203207,73.80952380952381,-0.2509294113153906
CNP,CenterPoint Energy,2024Q4,2024-10-28,1,42,1.176792556102901,0.3323380464995462,73.80952380952381,0.10152373889859967
FFIV,"F5, Inc.",2025Q1,2025-01-28,0,44,0.8314855875831485,0.3315536294663847,59.09090909090909,0.21223244440431566
CRWD,CrowdStrike,2024Q2,2024-06-04,3,19,0.747301411569333,0.33041033782520673,68.42105263157895,0.11194229554723356
T,AT&T,2025Q1,2025-01-27,0,41,0.8951190677250466,0.31926352778852557,65.85365853658537,-0.2326399140697012
VRSK,Verisk Analytics,2024Q4,2024-10-30,1,42,0.8991228070175439,0.3116854333819459,71.42857142857143,0.1712062223234656
MLM,Martin Marietta Materials,2024Q4,2024-10-30,1,42,0.914538000630716,0.3097780363589489,69.04761904761905,0.1467623246543056
AAPL,Apple Inc.,2025Q1,2025-01-30,0,44,0.9201171058134672,0.30265821716074387,61.36363636363637,-0.0708169021983398
EG,Everest Group,2024Q4,2024-10-31,1,32,1.153721156971076,0.30230585000307447,71.875,0.08201422010435722
HSY,Hershey Company (The),2024Q4,2024-11-07,1,42,1.0384850335980453,0.30132831503615765,71.42857142857143,-0.5623687550892544
LMT,Lockheed Martin,2025Q1,2025-01-28,0,43,1.1708744968898646,0.2999198255989677,67.44186046511628,0.24242884297598577
MAR,Marriott International,2024Q4,2024-11-04,1,42,1.0490543735224587,0.2925134651798578,57.14285714285714,0.3115418022854489
SWKS,Skyworks Solutions,2024Q4,2024-11-12,1,43,0.8149010477299184,0.29247817013856414,62.7906976744186,0.011688196324296074
ZBH,Zimmer Biomet,2024Q4,2024-10-30,1,41,0.991407799074686,0.2835990953349701,65.85365853658537,0.13995852371236717
CARR,Carrier Global,2024Q4,2024-10-24,1,18,0.9570154095701542,0.2834386888295184,55.55555555555556,-0.17740572485098038
PANW,Palo Alto Networks,2024Q4,2024-11-20,1,40,0.7467204843592331,0.2790884487370911,65.0,-0.1711317414324145
PNR,Pentair,2024Q4,2024-10-22,1,42,1.004107713372889,0.27725655051155673,66.66666666666666,-0.015606766572726194
