ticker,n_quarters,pearson_r,pearson_p,spearman_rho,spearman_p,mean_growth,median_growth
GRMN,41,-0.020468203145018033,0.8989241355697031,-0.04947735191637632,0.7586908537012035,2.2392820667692583,3.3131457071606687
SWK,42,-0.0225896926478979,0.8870816977066837,0.15614617940199335,0.323408342884187,0.5574215852737685,2.400222618636776
IP,43,-0.022907238881047134,0.8840749353549922,-0.1573542736333434,0.3135835589766667,-1.678337139259625,-0.9259259259259335
HD,42,-0.02428502852042614,0.8786682134894586,-0.016773357102341787,0.9160341616061954,3.311822758430382,3.833808162628265
UBER,21,-0.02492430448134824,0.914598770878118,0.07142857142857142,0.7583283454574847,16.156555546502393,15.15544041450777
STX,43,-0.02497302751919354,0.8737017540524377,-0.11491996375717305,0.46306380477175635,9.85840084555438,1.322685300723732
MA,43,-0.02568510052688313,0.8701308899169786,-0.04228329809725158,0.7877602715396101,4.045337613258169,4.459064327485376
VMC,41,-0.025931160607041506,0.8721465492710733,-0.012543554006968645,0.9379576704128201,9.378526449862232,5.754857997010459
CB,41,-0.026196702282336563,0.8708482898248916,0.002090592334494774,0.9896498562997393,2.4126817502709477,2.1450459652706932
UDR,42,-0.026595148005196047,0.8672250866871569,-0.05226480836236934,0.7423692142773037,13.174069229980386,6.05096611358187
CPRT,43,-0.02671664664189503,0.8649624870001192,-0.028994261552401087,0.8535708225758365,4.970406430735779,4.7581903276131
SLB,42,-0.026775237884181763,0.8663341081681399,0.08694595251600357,0.5840298229451498,0.3423650372119439,3.572029944667464
TRGP,42,-0.027509816578708515,0.8627015495036182,-0.05226480836236934,0.7423692142773037,-29.191682836102853,5.382102426738219
EXPE,38,-0.027749380339371247,0.8686479414940392,0.19597330123645912,0.23832583955413503,-564.6439132237296,4.823148227212777
PPG,43,-0.02853425111002535,0.8558693086222897,-0.04500320915352943,0.7744530350176069,1.6102867783207826,1.9491525423728697
CTRA,42,-0.028977776550247206,0.8554507858591288,0.0033222591362126247,0.9833406080686674,29.995249790932252,-0.5325140809011696
PKG,42,-0.029842984173260347,0.8511826782306493,0.0712259946519731,0.6539822372158073,2.4433231564501168,2.579736208994377
GM,43,-0.0308101134079256,0.8445096032679865,0.04817457624152982,0.7590174712971882,3.583162797630737,4.079365079365088
DECK,39,-0.03345084410096586,0.8397914708360196,-0.13380566801619434,0.41673980031904445,5.427440195401666,4.774535809018572
AEE,39,-0.03367701867063233,0.8387224555490155,0.06376518218623482,0.6997557099611152,1.683323551276776,1.5534430790633011
WMB,32,-0.0344630622362937,0.851463408400211,-0.07001466275659823,0.7033717855509214,14.521042860068775,2.542137030143851
TDY,34,-0.03524041382877268,0.8431542896838143,0.0854087089381207,0.6310386897404544,3.0683041216662823,1.9856177944562607
FCX,41,-0.03819076743443315,0.8126070366838858,0.01428571428571429,0.9293610278368878,52.7552425096474,0.8150470219435814
FDS,43,-0.03929558772042685,0.8024466542877576,-0.021594684385382062,0.8906758832908506,2.961496193394676,3.1561643835616464
CARR,17,-0.03983400319853724,0.8793534253381561,-0.11764705882352941,0.6529334399539918,4.544236034467724,2.4786324786324907
ACN,41,-0.040000786037538524,0.8038958001868655,0.027700348432055752,0.8635032191274419,2.4750793133824693,2.328482328482331
STT,43,-0.04061720654056347,0.795941495519026,-0.09423135004530353,0.5478080412419994,1.4740198522603896,1.9498607242339914
IVZ,43,-0.0407665745264197,0.795207138576018,0.018574448807006948,0.9058919252361587,-0.23733894749324524,1.176470588235304
MCD,41,-0.041508670842127796,0.7966564503295948,0.13972125435540073,0.3836067039550355,2.0149375403548433,2.670967741935482
